0	data3	745	1	
frame:0	1	object:1	105	89
frame:1	1	object:1	105	90
frame:2	1	object:1	105	89
frame:3	1	object:1	105	89
frame:4	1	object:1	105	88
frame:5	1	object:1	104	87
frame:6	1	object:1	104	87
frame:7	1	object:1	104	87
frame:8	1	object:1	103	86
frame:9	1	object:1	103	86
frame:10	1	object:1	102	86
frame:11	1	object:1	102	85
frame:12	1	object:1	102	85
frame:13	1	object:1	102	85
frame:14	1	object:1	102	86
frame:15	1	object:1	102	90
frame:16	1	object:1	102	93
frame:17	1	object:1	102	93
frame:18	1	object:1	102	93
frame:19	1	object:1	103	92
frame:20	1	object:1	103	92
frame:21	1	object:1	104	92
frame:22	1	object:1	105	92
frame:23	1	object:1	105	92
frame:24	1	object:1	105	91
frame:25	1	object:1	106	91
frame:26	1	object:1	106	91
frame:27	1	object:1	106	90
frame:28	1	object:1	106	90
frame:29	1	object:1	106	90
frame:30	1	object:1	105	90
frame:31	1	object:1	105	91
frame:32	1	object:1	105	92
frame:33	1	object:1	105	92
frame:34	1	object:1	105	92
frame:35	1	object:1	105	92
frame:36	1	object:1	105	92
frame:37	1	object:1	104	92
frame:38	1	object:1	103	92
frame:39	1	object:1	103	91
frame:40	1	object:1	103	91
frame:41	1	object:1	103	91
frame:42	1	object:1	102	90
frame:43	1	object:1	102	90
frame:44	1	object:1	102	90
frame:45	1	object:1	102	89
frame:46	1	object:1	101	89
frame:47	1	object:1	101	91
frame:48	1	object:1	100	92
frame:49	1	object:1	100	92
frame:50	1	object:1	99	92
frame:51	1	object:1	99	92
frame:52	1	object:1	99	92
frame:53	1	object:1	99	91
frame:54	1	object:1	99	91
frame:55	1	object:1	99	91
frame:56	1	object:1	98	90
frame:57	1	object:1	98	90
frame:58	1	object:1	97	90
frame:59	1	object:1	97	89
frame:60	1	object:1	96	88
frame:61	1	object:1	96	89
frame:62	1	object:1	96	89
frame:63	1	object:1	96	92
frame:64	1	object:1	96	94
frame:65	1	object:1	96	95
frame:66	1	object:1	97	94
frame:67	1	object:1	97	94
frame:68	1	object:1	97	94
frame:69	1	object:1	98	93
frame:70	1	object:1	98	93
frame:71	1	object:1	98	93
frame:72	1	object:1	99	92
frame:73	1	object:1	99	92
frame:74	1	object:1	99	92
frame:75	1	object:1	100	92
frame:76	1	object:1	101	92
frame:77	1	object:1	100	91
frame:78	1	object:1	101	91
frame:79	1	object:1	102	92
frame:80	1	object:1	102	94
frame:81	1	object:1	102	93
frame:82	1	object:1	102	93
frame:83	1	object:1	102	93
frame:84	1	object:1	102	92
frame:85	1	object:1	102	92
frame:86	1	object:1	102	92
frame:87	1	object:1	102	92
frame:88	1	object:1	102	92
frame:89	1	object:1	102	91
frame:90	1	object:1	102	91
frame:91	1	object:1	102	91
frame:92	1	object:1	102	90
frame:93	1	object:1	102	90
frame:94	1	object:1	102	90
frame:95	1	object:1	102	93
frame:96	1	object:1	103	94
frame:97	1	object:1	104	95
frame:98	1	object:1	102	89
frame:99	1	object:1	102	88
frame:100	1	object:1	102	88
frame:101	1	object:1	102	88
frame:102	1	object:1	102	87
frame:103	1	object:1	102	89
frame:104	1	object:1	102	88
frame:105	1	object:1	101	89
frame:106	1	object:1	101	89
frame:107	1	object:1	101	89
frame:108	1	object:1	101	88
frame:109	1	object:1	100	87
frame:110	1	object:1	101	89
frame:111	1	object:1	100	92
frame:112	1	object:1	100	93
frame:113	1	object:1	100	94
frame:114	1	object:1	100	94
frame:115	1	object:1	99	94
frame:116	1	object:1	99	93
frame:117	1	object:1	99	93
frame:118	1	object:1	99	93
frame:119	1	object:1	99	92
frame:120	1	object:1	99	92
frame:121	1	object:1	99	92
frame:122	1	object:1	99	92
frame:123	1	object:1	99	92
frame:124	1	object:1	99	91
frame:125	1	object:1	99	91
frame:126	1	object:1	99	91
frame:127	1	object:1	98	92
frame:128	1	object:1	99	92
frame:129	1	object:1	99	92
frame:130	1	object:1	99	92
frame:131	1	object:1	99	92
frame:132	1	object:1	99	93
frame:133	1	object:1	99	92
frame:134	1	object:1	100	92
frame:135	1	object:1	101	91
frame:136	1	object:1	102	92
frame:137	1	object:1	102	91
frame:138	1	object:1	102	91
frame:139	1	object:1	102	91
frame:140	1	object:1	102	90
frame:141	1	object:1	102	90
frame:142	1	object:1	102	91
frame:143	1	object:1	102	93
frame:144	1	object:1	102	95
frame:145	1	object:1	102	94
frame:146	1	object:1	102	94
frame:147	1	object:1	102	94
frame:148	1	object:1	102	93
frame:149	1	object:1	101	93
frame:150	1	object:1	101	93
frame:151	1	object:1	101	93
frame:152	1	object:1	101	92
frame:153	1	object:1	101	92
frame:154	1	object:1	101	92
frame:155	1	object:1	100	92
frame:156	1	object:1	100	92
frame:157	1	object:1	100	92
frame:158	1	object:1	100	92
frame:159	1	object:1	100	92
frame:160	1	object:1	99	93
frame:161	1	object:1	99	93
frame:162	1	object:1	100	93
frame:163	1	object:1	100	93
frame:164	1	object:1	99	93
frame:165	1	object:1	99	92
frame:166	1	object:1	99	92
frame:167	1	object:1	99	92
frame:168	1	object:1	99	92
frame:169	1	object:1	98	92
frame:170	1	object:1	98	92
frame:171	1	object:1	98	92
frame:172	1	object:1	97	91
frame:173	1	object:1	97	91
frame:174	1	object:1	98	92
frame:175	1	object:1	97	93
frame:176	1	object:1	98	95
frame:177	1	object:1	97	94
frame:178	1	object:1	98	94
frame:179	1	object:1	98	94
frame:180	1	object:1	99	94
frame:181	1	object:1	100	93
frame:182	1	object:1	101	93
frame:183	1	object:1	102	93
frame:184	1	object:1	102	93
frame:185	1	object:1	102	93
frame:186	1	object:1	102	92
frame:187	1	object:1	102	92
frame:188	1	object:1	102	92
frame:189	1	object:1	102	92
frame:190	1	object:1	101	92
frame:191	1	object:1	102	93
frame:192	1	object:1	102	93
frame:193	1	object:1	102	93
frame:194	1	object:1	102	93
frame:195	1	object:1	102	93
frame:196	1	object:1	103	93
frame:197	1	object:1	102	92
frame:198	1	object:1	103	92
frame:199	1	object:1	102	92
frame:200	1	object:1	102	92
frame:201	1	object:1	102	92
frame:202	1	object:1	102	91
frame:203	1	object:1	102	91
frame:204	1	object:1	102	91
frame:205	1	object:1	102	90
frame:206	1	object:1	102	91
frame:207	1	object:1	102	92
frame:208	1	object:1	102	93
frame:209	1	object:1	102	93
frame:210	1	object:1	102	94
frame:211	1	object:1	102	93
frame:212	1	object:1	101	92
frame:213	1	object:1	102	92
frame:214	1	object:1	102	92
frame:215	1	object:1	102	92
frame:216	1	object:1	101	92
frame:217	1	object:1	101	92
frame:218	1	object:1	101	92
frame:219	1	object:1	101	91
frame:220	1	object:1	101	91
frame:221	1	object:1	101	91
frame:222	1	object:1	101	91
frame:223	1	object:1	102	93
frame:224	1	object:1	102	95
frame:225	1	object:1	102	94
frame:226	1	object:1	102	94
frame:227	1	object:1	101	94
frame:228	1	object:1	101	93
frame:229	1	object:1	101	93
frame:230	1	object:1	101	93
frame:231	1	object:1	101	93
frame:232	1	object:1	101	92
frame:233	1	object:1	101	92
frame:234	1	object:1	100	92
frame:235	1	object:1	100	92
frame:236	1	object:1	101	92
frame:237	1	object:1	101	91
frame:238	1	object:1	101	92
frame:239	1	object:1	100	92
frame:240	1	object:1	101	92
frame:241	1	object:1	100	92
frame:242	1	object:1	99	87
frame:243	1	object:1	99	87
frame:244	1	object:1	99	86
frame:245	1	object:1	99	86
frame:246	1	object:1	93	88
frame:247	1	object:1	93	88
frame:248	1	object:1	93	89
frame:249	1	object:1	93	88
frame:250	1	object:1	93	87
frame:251	1	object:1	93	87
frame:252	1	object:1	93	88
frame:253	1	object:1	93	87
frame:254	1	object:1	93	87
frame:255	1	object:1	93	87
frame:256	1	object:1	93	86
frame:257	1	object:1	92	86
frame:258	1	object:1	92	87
frame:259	1	object:1	92	86
