0	data5	763	1
frame:0	1	object:1	100	91
frame:1	1	object:1	100	91
frame:2	1	object:1	100	90
frame:3	1	object:1	100	90
frame:4	1	object:1	100	90
frame:5	1	object:1	100	90
frame:6	1	object:1	100	89
frame:7	1	object:1	99	89
frame:8	1	object:1	99	90
frame:9	1	object:1	99	92
frame:10	1	object:1	99	93
frame:11	1	object:1	99	94
frame:12	1	object:1	99	93
frame:13	1	object:1	99	93
frame:14	1	object:1	99	93
frame:15	1	object:1	99	93
frame:16	1	object:1	99	92
frame:17	1	object:1	99	93
frame:18	1	object:1	99	92
frame:19	1	object:1	99	92
frame:20	1	object:1	99	92
frame:21	1	object:1	99	91
frame:22	1	object:1	99	91
frame:23	1	object:1	99	91
frame:24	1	object:1	99	91
frame:25	1	object:1	99	92
frame:26	1	object:1	99	92
frame:27	1	object:1	99	92
frame:28	1	object:1	100	92
frame:29	1	object:1	100	92
frame:30	1	object:1	100	92
frame:31	1	object:1	100	92
frame:32	1	object:1	100	92
frame:33	1	object:1	99	92
frame:34	1	object:1	99	92
frame:35	1	object:1	99	92
frame:36	1	object:1	100	91
frame:37	1	object:1	99	91
frame:38	1	object:1	99	90
frame:39	1	object:1	99	91
frame:40	1	object:1	99	91
frame:41	1	object:1	99	93
frame:42	1	object:1	100	94
frame:43	1	object:1	101	94
frame:44	1	object:1	101	94
frame:45	1	object:1	101	94
frame:46	1	object:1	101	94
frame:47	1	object:1	100	93
frame:48	1	object:1	101	93
frame:49	1	object:1	101	93
frame:50	1	object:1	101	92
frame:51	1	object:1	100	92
frame:52	1	object:1	100	92
frame:53	1	object:1	100	92
frame:54	1	object:1	100	92
frame:55	1	object:1	100	92
frame:56	1	object:1	100	92
frame:57	1	object:1	101	92
frame:58	1	object:1	102	94
frame:59	1	object:1	102	94
frame:60	1	object:1	102	94
frame:61	1	object:1	102	94
frame:62	1	object:1	102	94
frame:63	1	object:1	102	94
frame:64	1	object:1	102	93
frame:65	1	object:1	102	93
frame:66	1	object:1	102	93
frame:67	1	object:1	102	93
frame:68	1	object:1	102	93
frame:69	1	object:1	101	93
frame:70	1	object:1	102	92
frame:71	1	object:1	102	92
frame:72	1	object:1	99	91
frame:73	1	object:1	99	90
frame:74	1	object:1	99	90
frame:75	1	object:1	100	90
frame:76	1	object:1	101	91
frame:77	1	object:1	102	91
frame:78	1	object:1	102	91
frame:79	1	object:1	102	91
frame:80	1	object:1	102	91
frame:81	1	object:1	102	92
frame:82	1	object:1	102	94
frame:83	1	object:1	102	97
frame:84	1	object:1	102	98
frame:85	1	object:1	102	97
frame:86	1	object:1	102	97
frame:87	1	object:1	102	97
frame:88	1	object:1	102	97
frame:89	1	object:1	102	96
frame:90	1	object:1	102	95
frame:91	1	object:1	102	95
frame:92	1	object:1	101	95
frame:93	1	object:1	101	95
frame:94	1	object:1	101	95
frame:95	1	object:1	101	94
frame:96	1	object:1	101	94
frame:97	1	object:1	100	94
frame:98	1	object:1	101	94
frame:99	1	object:1	100	95
frame:100	1	object:1	101	95
frame:101	1	object:1	100	96
frame:102	1	object:1	99	96
frame:103	1	object:1	100	95
frame:104	1	object:1	99	95
frame:105	1	object:1	99	95
frame:106	1	object:1	100	95
frame:107	1	object:1	100	94
frame:108	1	object:1	100	94
frame:109	1	object:1	99	94
frame:110	1	object:1	99	94
frame:111	1	object:1	99	94
frame:112	1	object:1	99	94
frame:113	1	object:1	99	94
frame:114	1	object:1	99	95
frame:115	1	object:1	99	97
frame:116	1	object:1	99	96
frame:117	1	object:1	99	96
frame:118	1	object:1	99	97
frame:119	1	object:1	98	96
frame:120	1	object:1	99	96
frame:121	1	object:1	98	95
frame:122	1	object:1	98	96
frame:123	1	object:1	99	95
frame:124	1	object:1	98	95
frame:125	1	object:1	98	95
frame:126	1	object:1	98	95
frame:127	1	object:1	97	94
frame:128	1	object:1	98	94
frame:129	1	object:1	98	95
frame:130	1	object:1	98	95
frame:131	1	object:1	98	95
frame:132	1	object:1	98	95
frame:133	1	object:1	97	95
frame:134	1	object:1	98	94
frame:135	1	object:1	98	94
frame:136	1	object:1	97	94
frame:137	1	object:1	98	94
frame:138	1	object:1	97	93
frame:139	1	object:1	98	93
frame:140	1	object:1	97	93
frame:141	1	object:1	97	93
frame:142	1	object:1	97	93
frame:143	1	object:1	97	92
frame:144	1	object:1	97	92
frame:145	1	object:1	97	92
frame:146	1	object:1	98	95
frame:147	1	object:1	98	97
frame:148	1	object:1	97	96
frame:149	1	object:1	98	97
frame:150	1	object:1	98	97
frame:151	1	object:1	98	96
frame:152	1	object:1	97	96
frame:153	1	object:1	97	95
frame:154	1	object:1	98	95
frame:155	1	object:1	98	95
frame:156	1	object:1	98	94
frame:157	1	object:1	98	95
frame:158	1	object:1	98	95
frame:159	1	object:1	98	94
frame:160	1	object:1	98	94
frame:161	1	object:1	98	94
frame:162	1	object:1	98	95
frame:163	1	object:1	99	96
frame:164	1	object:1	101	96
frame:165	1	object:1	101	97
frame:166	1	object:1	101	96
frame:167	1	object:1	100	96
frame:168	1	object:1	101	97
frame:169	1	object:1	101	95
frame:170	1	object:1	101	95
frame:171	1	object:1	101	95
frame:172	1	object:1	101	95
frame:173	1	object:1	101	95
frame:174	1	object:1	101	94
frame:175	1	object:1	101	94
frame:176	1	object:1	100	94
frame:177	1	object:1	106	90
frame:178	1	object:1	105	91
frame:179	1	object:1	105	92
frame:180	1	object:1	104	94
frame:181	1	object:1	103	93
frame:182	1	object:1	103	93
frame:183	1	object:1	102	92
frame:184	1	object:1	101	92
frame:185	1	object:1	99	93
frame:186	1	object:1	100	94
frame:187	1	object:1	99	94
frame:188	1	object:1	99	94
frame:189	1	object:1	99	94
frame:190	1	object:1	99	94
frame:191	1	object:1	99	93
frame:192	1	object:1	99	93
frame:193	1	object:1	99	93
frame:194	1	object:1	99	91
frame:195	1	object:1	99	91
frame:196	1	object:1	99	91
frame:197	1	object:1	99	90
frame:198	1	object:1	99	91
