0	data2	599	2				
frame:0	2	object:1	127	131	object:2	173	125
frame:1	2	object:1	127	130	object:2	172	124
frame:2	2	object:1	127	130	object:2	171	124
frame:3	2	object:1	126	130	object:2	171	124
frame:4	2	object:1	126	130	object:2	171	125
frame:5	2	object:1	126	130	object:2	170	125
frame:6	2	object:1	126	130	object:2	170	125
frame:7	2	object:1	126	130	object:2	169	125
frame:8	2	object:1	126	130	object:2	169	124
frame:9	2	object:1	126	130	object:2	169	124
frame:10	2	object:1	126	130	object:2	169	124
frame:11	2	object:1	127	130	object:2	169	124
frame:12	2	object:1	126	130	object:2	168	124
frame:13	2	object:1	127	130	object:2	168	125
frame:14	2	object:1	127	130	object:2	168	125
frame:15	2	object:1	127	130	object:2	168	125
frame:16	2	object:1	128	130	object:2	168	125
frame:17	2	object:1	128	130	object:2	168	125
frame:18	2	object:1	128	130	object:2	168	125
frame:19	2	object:1	128	130	object:2	168	125
frame:20	2	object:1	128	130	object:2	167	125
frame:21	2	object:1	128	130	object:2	167	125
frame:22	2	object:1	128	130	object:2	166	125
frame:23	2	object:1	127	130	object:2	166	125
frame:24	2	object:1	127	130	object:2	165	125
frame:25	2	object:1	127	130	object:2	165	125
frame:26	2	object:1	127	130	object:2	165	125
frame:27	2	object:1	127	130	object:2	164	125
frame:28	2	object:1	127	130	object:2	164	125
frame:29	2	object:1	127	130	object:2	163	125
frame:30	2	object:1	126	130	object:2	162	125
frame:31	2	object:1	126	130	object:2	162	126
frame:32	2	object:1	126	130	object:2	162	126
frame:33	2	object:1	126	130	object:2	162	126
frame:34	2	object:1	126	130	object:2	161	125
frame:35	2	object:1	126	130	object:2	161	126
frame:36	2	object:1	126	130	object:2	161	126
frame:37	2	object:1	126	130	object:2	161	126
frame:38	2	object:1	126	130	object:2	161	126
frame:39	2	object:1	125	130	object:2	159	126
frame:40	2	object:1	122	130	object:2	156	126
frame:41	2	object:1	116	131	object:2	149	127
frame:42	2	object:1	113	131	object:2	146	127
frame:43	2	object:1	113	131	object:2	146	127
frame:44	2	object:1	113	131	object:2	146	127
frame:45	2	object:1	113	131	object:2	146	128
frame:46	2	object:1	114	131	object:2	146	128
frame:47	2	object:1	115	132	object:2	147	128
frame:48	2	object:1	115	132	object:2	147	128
frame:49	2	object:1	115	132	object:2	147	128
frame:50	2	object:1	115	132	object:2	147	128
